gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000023445.14_BIRC3,1743.3144742921922,2.0460283462529705,0.08827353532284489,23.178275785262056,7.542338390066662e-119,1.0455943710149414e-114
ENSG00000184371.14_CSF1,4028.3694867805425,0.9726954610688318,0.061240143634942165,15.883298165777568,8.271246140589611e-57,5.733214262349689e-53
ENSG00000124225.16_PMEPA1,1404.8231334992372,-1.167807185980185,0.07781699574051955,-15.00709677708753,6.597272754617041e-51,3.0485997399085344e-47
ENSG00000106366.8_SERPINE1,14953.388403401173,-0.8350080573160573,0.057316101381171776,-14.5684726838444,4.457454060582433e-48,1.5448421410463567e-44
ENSG00000125730.16_C3,318.9842212421281,-2.0302963128733653,0.14017834104952986,-14.483666290186665,1.5367663025878595e-47,4.2608382505550993e-44
ENSG00000056558.11_TRAF1,535.0439794127234,1.6038344069414092,0.11104700299402954,14.442842793583898,2.7812966311750184e-47,6.42618586632988e-44
ENSG00000090339.9_ICAM1,1062.2674654509492,1.2981049621637366,0.09106725837732574,14.254354257434674,4.211801243983246e-46,8.34117152076282e-43
ENSG00000160182.3_TFF1,126.76149289196337,-3.0583740007524294,0.2272441432644376,-13.458538278777493,2.7428864426826756e-41,4.753079344363742e-38
ENSG00000127824.14_TUBA4A,1604.2599320737843,-0.9739771619035893,0.0742335084543237,-13.120451696054257,2.5143183531374178e-39,3.8728883699493356e-36
ENSG00000120708.17_TGFBI,3957.955561912468,-0.8379483045948952,0.06835041150372997,-12.259594143762651,1.4924550315312413e-34,2.0689904102117595e-31
ENSG00000118523.6_CCN2,3940.857108427352,-0.7651332808092173,0.06425301438780044,-11.908130507173393,1.0735729923663168e-32,1.352994763015841e-29
ENSG00000146674.15_IGFBP3,1291.177084528778,-0.923869809619769,0.08189792770383546,-11.280747089971875,1.633527687327504e-29,1.887132860785099e-26
ENSG00000198712.1_MT-CO2,110941.97956493184,-1.0645687650773885,0.09785357912397184,-10.879201094204985,1.4482668337051475e-27,1.5444094704349585e-24
ENSG00000075426.12_FOSL2,2656.9696084264056,0.8711962205846223,0.08067068050390862,10.799415787033203,3.464005567574793e-27,3.251603190743553e-24
ENSG00000107201.10_DDX58,818.5814972523966,1.043016096714728,0.09659356040214004,10.797987902841813,3.5182895377013126e-27,3.251603190743553e-24
ENSG00000149177.13_PTPRJ,2410.3933518595213,0.8744532346250092,0.08211707199224505,10.648860382011557,1.7651266382119318e-26,1.5293719115957507e-23
ENSG00000103888.17_CEMIP,3738.4839394315986,1.0545866813146894,0.10003096501915897,10.542602294326601,5.495677495274647e-26,4.481563359823084e-23
ENSG00000119922.10_IFIT2,1104.6397872349983,0.8281661028343263,0.0789031300182127,10.495985427234206,9.013227872147936e-26,6.941687666199268e-23
ENSG00000145901.15_TNIP1,2904.2443456949454,0.7027264837721502,0.06760453972043608,10.394664125783907,2.6220910815473456e-25,1.9131604559732026e-22
ENSG00000215252.11_GOLGA8B,1104.0686053991406,-1.1109290207997022,0.10912360884460093,-10.180464452763259,2.424016222840286e-24,1.6802068448617441e-21
ENSG00000119917.14_IFIT3,1980.3904162188528,0.724229147152598,0.07269254597445995,9.962907990690697,2.2148758258542447e-23,1.425886154110551e-20
ENSG00000117877.10_CD3EAP,707.9737984592662,-0.9477973824517536,0.09515293558046535,-9.960779209489086,2.2628215675129565e-23,1.425886154110551e-20
ENSG00000120875.9_DUSP4,4387.401962883964,0.6525938885037377,0.06607883817017741,9.87598914531559,5.290835627688404e-23,3.1889936655062757e-20
ENSG00000095752.7_IL11,387.24374698373987,1.1495171871591114,0.11686945564576377,9.835907772543635,7.885322706792899e-23,4.554759528511248e-20
ENSG00000243649.8_CFB,788.0460466353692,-0.9177071177930933,0.09392282687754369,-9.7708634663392,1.501667231563946e-22,8.327045132468394e-20
ENSG00000170373.8_CST1,4135.976241346257,-0.7971108600243917,0.08257063103711973,-9.653684972639358,4.742040580842425e-22,2.528419560469944e-19
ENSG00000135480.16_KRT7,9673.23001304612,-0.6712142529613873,0.07020827442471587,-9.560329725538665,1.1738212825722733e-21,6.026920163073861e-19
ENSG00000099860.9_GADD45B,696.4028391877938,-1.0049159489443384,0.10622681807887077,-9.460096490871196,3.0765916958936438e-21,1.5232425242919136e-18
ENSG00000006327.13_TNFRSF12A,3932.6776928284403,-0.7454725983742103,0.07910433265168892,-9.423916154588708,4.345703712550423e-21,2.077396226451259e-18
ENSG00000196611.5_MMP1,1157.7688393118624,0.8221950329268807,0.0876425441758366,9.381231919480987,6.520634564106607e-21,2.979682592791439e-18
ENSG00000152795.17_HNRNPDL,5439.139334766306,-0.694284429368083,0.07402578814403947,-9.378953561658047,6.6630715124096235e-21,2.979682592791439e-18
ENSG00000163975.12_MELTF,2713.8035689760677,-0.6801623171325686,0.07389719621433909,-9.204169467536431,3.44323586509626e-20,1.4916743374321703e-17
ENSG00000100906.10_NFKBIA,965.1914513588703,0.7898945837019825,0.0866844744305421,9.112295931780766,8.065669274494129e-20,3.3883143379488515e-17
ENSG00000168209.5_DDIT4,1612.110330243453,0.6760873412496946,0.07425450038689983,9.105001551784351,8.626520379064568e-20,3.517336823969768e-17
ENSG00000116717.13_GADD45A,1225.077664076918,-0.8095139533709257,0.08947863084058531,-9.047008718910236,1.46938302752053e-19,5.820016260147745e-17
ENSG00000087074.8_PPP1R15A,2661.76480663594,-0.629455801099703,0.07031982938097928,-8.951327195198852,3.5123360797884383e-19,1.3525420853918645e-16
ENSG00000197594.13_ENPP1,1662.7691551159949,0.6789844389863853,0.07621570222714695,8.908721157784473,5.162457050284499e-19,1.934247083462e-16
ENSG00000110330.8_BIRC2,2312.0043609627737,0.619327569893467,0.06955770969400409,8.90379474278253,5.396920759770552e-19,1.9688819077026093e-16
ENSG00000085117.12_CD82,2407.0513925034484,0.7119372064289079,0.08111759777543887,8.776606136683098,1.6848176502563746e-18,5.988878739872852e-16
ENSG00000158470.5_B4GALT5,1458.2497421759626,0.7139843208611232,0.08240894770509039,8.663917459742306,4.558234682417784e-18,1.5797701850589433e-15
ENSG00000115414.19_FN1,14941.645688546872,-0.7906198166402704,0.09223327862002423,-8.57195828305537,1.0173994716203534e-17,3.440050945139746e-15
ENSG00000142871.17_CCN1,17848.8865916846,-0.6096308877607138,0.07123758903405011,-8.55771364566146,1.1512789331192343e-17,3.800042821388558e-15
ENSG00000187840.5_EIF4EBP1,1191.270945366226,-0.7577621609276265,0.0890250868614871,-8.511782326105655,1.7127989384999507e-17,5.521984112656935e-15
ENSG00000077150.19_NFKB2,1623.533707553559,0.6151258497436354,0.07233851048091477,8.50343538530456,1.840610028118968e-17,5.799176549957557e-15
ENSG00000130164.13_LDLR,2738.544839618947,0.7698515844333405,0.0905897723552582,8.498217452344168,1.9252420335444537e-17,5.931028958005947e-15
ENSG00000185745.10_IFIT1,1018.4302579159724,0.7547101660161621,0.0893569096847005,8.446019101143804,3.0140439955767394e-17,9.083411284930509e-15
ENSG00000069122.19_ADGRF5,2943.3359108889763,0.8065408611508876,0.095560909139065,8.440071033409374,3.171448703888708e-17,9.354424123831735e-15
ENSG00000143256.5_PFDN2,1878.0595407119542,-0.7548401162802049,0.08957585402111545,-8.426825783902308,3.5516803608327026e-17,1.025769684212995e-14
ENSG00000131459.13_GFPT2,791.2739309696145,0.7641942297948611,0.09092390816756064,8.40476663614759,4.287132143482184e-17,1.2129084266345618e-14
ENSG00000111846.17_GCNT2,1436.199579432907,0.6660676755385118,0.0793020774453212,8.399120136515537,4.49836416611894e-17,1.2472164486981373e-14
ENSG00000135069.14_PSAT1,1966.7263681998336,-0.5698944489882354,0.06787933710622865,-8.395698503896282,4.6313264229727886e-17,1.2589034941504268e-14
ENSG00000116649.10_SRM,2969.0727753904907,-0.6599699687249055,0.078701960120369,-8.38568655361987,5.043054833738483e-17,1.3444590223099346e-14
ENSG00000233016.6_SNHG7,715.9587716302722,-0.8277872765594536,0.099198037695408,-8.344794874886652,7.133759576893636e-17,1.8659492266882353e-14
ENSG00000173706.14_HEG1,2705.7365091098036,0.7930955157972492,0.09535222405168291,8.317535575964907,8.981114195443475e-17,2.3056515942857943e-14
ENSG00000114315.4_HES1,413.240139628007,-1.0287261046028333,0.12409282692971482,-8.289972354207833,1.1327479349642824e-16,2.855142658619972e-14
ENSG00000144749.13_LRIG1,530.0443733714566,0.8339084492403763,0.10080495351085439,8.272494755434646,1.3118463568984459e-16,3.247522508157706e-14
ENSG00000176978.14_DPP7,1909.2153545165386,-0.648705233083288,0.07857341434551236,-8.256039762135373,1.505854780059819e-16,3.66239733613496e-14
ENSG00000058085.14_LAMC2,1951.0790099296003,0.7033849372682466,0.08522815994174512,8.252964017397794,1.5451358584765238e-16,3.6931411044931124e-14
ENSG00000102312.21_PORCN,613.4936483134564,-0.8708005333061978,0.10606218226797427,-8.210283012148977,2.2066774964014052e-16,5.1849440902733357e-14
ENSG00000077348.9_EXOSC5,754.7922504086796,-0.7380296199661786,0.09036130110733562,-8.16754087116907,3.1473913065539e-16,7.272047613792787e-14
ENSG00000255114.1_AP003392.3,60.96748381007038,-2.6872937001873334,0.32985382113047995,-8.146923055119993,3.7330104304117917e-16,8.48372517980306e-14
ENSG00000185215.9_TNFAIP2,1852.457222725622,0.5612058885793741,0.06917572607215663,8.112757472093389,4.948377437262719e-16,1.1064412324640819e-13
ENSG00000104824.17_HNRNPL,5648.844147953075,-0.511736622529251,0.06317006342721077,-8.10093570855619,5.453806835111461e-16,1.2000972088119076e-13
ENSG00000160957.13_RECQL4,1855.3907880086851,-0.76668040395914,0.09488431322885492,-8.08015970047605,6.468201059826308e-16,1.4010729889433142e-13
ENSG00000206503.13_HLA-A,23270.77543018326,-0.5426473171621267,0.06748432811902222,-8.041086460919619,8.90453982457171e-16,1.8991328552005786e-13
ENSG00000170345.10_FOS,521.0682418177354,-1.0461553145032763,0.13050269374375636,-8.016350348732379,1.089335045575141e-15,2.288098748001239e-13
ENSG00000136205.17_TNS3,1718.0794872080794,0.8009529192728199,0.10018137460275034,7.995028242014468,1.2954416898522125e-15,2.6804042009583914e-13
ENSG00000163661.4_PTX3,1147.6015685828231,0.6976575152823135,0.08826452647865199,7.904166522108422,2.6973224784076367e-15,5.498967870318393e-13
ENSG00000150991.15_UBC,28932.061431905797,-0.4930834840721552,0.06284968993955556,-7.845440200999693,4.314373949023454e-15,8.668140008016253e-13
ENSG00000138131.4_LOXL4,2241.581885618418,0.5489201605568406,0.07020994980817173,7.81826738313594,5.355534002375743e-15,1.0606252553562132e-12
ENSG00000043143.20_JADE2,838.1359614867497,0.87653188967589,0.1121421235829517,7.816259061899412,5.4416325175884936e-15,1.0624979097370323e-12
ENSG00000019582.15_CD74,6122.843943717594,-0.5276268560148271,0.06756945561491097,-7.808659270867239,5.7799521649169945e-15,1.1128816230867263e-12
ENSG00000134243.12_SORT1,1745.642637761098,0.6414030108909474,0.08240905046769506,7.783162252820543,7.073382123247474e-15,1.3432643338983526e-12
ENSG00000006125.18_AP2B1,6185.81538331652,0.6164118044497395,0.07995904885146041,7.709093758666954,1.2671429886938683e-14,2.3433555368294575e-12
ENSG00000137628.17_DDX60,369.9503167306875,0.9046905236012469,0.11735464925491161,7.709030101024167,1.2677751227166508e-14,2.3433555368294575e-12
ENSG00000102265.12_TIMP1,7676.725397930717,-0.6219732193300911,0.08073138330394034,-7.704230918334008,1.3163363155290923e-14,2.4011013608131323e-12
ENSG00000114554.11_PLXNA1,4566.35816410997,0.6624535811988955,0.08604435060961022,7.6989782188548075,1.3715854488316683e-14,2.4693881918381063e-12
ENSG00000108846.16_ABCC3,1013.0294085722832,-0.6287891633034567,0.08188275495585719,-7.679140298130365,1.6015975588069308e-14,2.8446145224666767e-12
ENSG00000131368.8_MRPS25,830.5001533839899,-0.6626677156691253,0.08631189465601374,-7.677594360662713,1.6210383558743955e-14,2.8446145224666767e-12
ENSG00000128965.13_CHAC1,147.7467027790145,-1.4431208991483677,0.18839200410557674,-7.660202491076152,1.8564015311175037e-14,3.216911803235244e-12
ENSG00000173193.15_PARP14,648.9465855425505,0.7929701295891247,0.10358674421023159,7.655131316607213,1.9311480729317688e-14,3.2877051393264624e-12
ENSG00000224389.9_C4B,163.65128536991767,-1.3712727393672097,0.17915219515078518,-7.654233531512493,1.9446860089790804e-14,3.2877051393264624e-12
ENSG00000131981.16_LGALS3,2634.486591044978,-0.5968192911967134,0.07804064403004105,-7.647544412459912,2.0485350553333012e-14,3.4215471653115127e-12
ENSG00000163110.15_PDLIM5,1588.3743465421373,0.6258122070004505,0.08197643859539885,7.634049706516231,2.2749213735592316e-14,3.75443273829186e-12
ENSG00000147044.21_CASK,1532.9414283902872,0.6152992222504712,0.08105326574188002,7.591294645794236,3.1672481635559723e-14,5.165595446044288e-12
ENSG00000168061.15_SAC3D1,613.719972072687,-0.8639218689204825,0.11396310739501408,-7.580715274163183,3.436550330671853e-14,5.539639213267895e-12
ENSG00000148344.11_PTGES,750.927915749851,0.696583152875119,0.0923873250155035,7.539812985798924,4.7064591222161296e-14,7.499499173710598e-12
ENSG00000122952.17_ZWINT,3195.6309672188618,-0.5021870087794642,0.0667599967733783,-7.522274311728547,5.383149023089646e-14,8.480294875805883e-12
ENSG00000153827.13_TRIP12,2340.996357475639,0.6029664345846881,0.08019790741734509,7.518480893109681,5.541634227419166e-14,8.631873628619316e-12
ENSG00000118515.11_SGK1,488.44907732421507,-0.8231512568673267,0.10990885380856297,-7.489398973271753,6.918971779992368e-14,1.062946710875627e-11
ENSG00000113615.13_SEC24A,541.8382632073861,0.9482664986818572,0.12663317379846437,7.4882944984938575,6.977432784367169e-14,1.062946710875627e-11
ENSG00000144674.16_GOLGA4,1711.5269376824865,0.6356482337435091,0.08491837793746909,7.485402443880618,7.132822508143977e-14,1.0748078090260865e-11
ENSG00000109790.16_KLHL5,1043.3422715264335,0.7355926684157641,0.09831813825225172,7.481759535849605,7.333403962391437e-14,1.0931503132326074e-11
ENSG00000078401.7_EDN1,316.9131844131047,-1.0532722576105717,0.14101157672828468,-7.469402740174467,8.055962613735275e-14,1.1880830820660863e-11
ENSG00000163297.17_ANTXR2,2222.570452460464,0.6459221399355457,0.08650249950868966,7.46709220663224,8.198632067130535e-14,1.1963961720697958e-11
ENSG00000107984.10_DKK1,9157.959869958686,-0.5328130211625498,0.07163467607001044,-7.437920437328672,1.0228262881327874e-13,1.4770250867067533e-11
