gene_id,CD-coefficient,Significance
ENSG00000198712.1_MT-CO2,-0.42845116480210954,0.27621726596570106
ENSG00000150991.15_UBC,-0.12318458470426498,0.2566497758939533
ENSG00000111640.15_GAPDH,-0.10172400443361959,0.14981262631152883
ENSG00000074800.15_ENO1,-0.10048193295681562,0.07095967526692111
ENSG00000198804.2_MT-CO1,-0.08921774668621117,0.27605270967803447
ENSG00000198938.2_MT-CO3,-0.08632747658162858,0.27577279231530766
ENSG00000196230.13_TUBB,-0.08399007561574766,0.2781951939679359
ENSG00000198899.2_MT-ATP6,-0.08185593324302293,0.2758575307122927
ENSG00000134333.14_LDHA,-0.08109996356107667,0.21708223939607507
ENSG00000182718.16_ANXA2,-0.07430394316903856,0.28178115181483654
ENSG00000123416.15_TUBA1B,-0.07288724986105062,0.18511679273886666
ENSG00000096384.20_HSP90AB1,-0.0629074654842472,0.09793673595750049
ENSG00000067225.18_PKM,-0.05870664796428451,0.06028820861706001
ENSG00000117984.14_CTSD,-0.05443949958551473,0.17094895171999977
ENSG00000137309.19_HMGA1,-0.053088864363550835,0.22771817504415542
ENSG00000156508.18_EEF1A1,-0.05128782683053625,0.2635951798771655
ENSG00000213719.8_CLIC1,-0.0506951883263176,0.24579029198751445
ENSG00000044574.8_HSPA5,-0.04600431030942112,0.04082775750122056
ENSG00000163399.16_ATP1A1,-0.04340306033984728,0.2719957013406301
ENSG00000102144.15_PGK1,-0.03961642536839228,0.11499555968148913
ENSG00000149925.19_ALDOA,-0.03953044122825243,0.25566994922463915
ENSG00000160789.20_LMNA,-0.0375369100080647,0.26843144677528663
ENSG00000142192.21_APP,-0.035278296424595866,0.24069725922810933
ENSG00000100316.16_RPL3,-0.033755785361205125,0.10402901272809792
ENSG00000108518.7_PFN1,-0.0320226968025609,0.1400864394521889
ENSG00000171314.9_PGAM1,-0.03015344944460294,0.2810270400841858
ENSG00000167996.16_FTH1,-0.02815295322595927,0.27881938838600917
ENSG00000111669.15_TPI1,-0.02773662170738743,0.1500998355513054
ENSG00000170315.13_UBB,-0.0259663409856171,0.28047888784647
ENSG00000197746.14_PSAP,-0.025744095263361556,0.2772547228950558
ENSG00000212907.2_MT-ND4L,-0.025588292092041758,0.2486668895770484
ENSG00000166598.15_HSP90B1,-0.025130008446851558,0.27734470067160744
ENSG00000141526.16_SLC16A3,-0.025124654767714704,0.2394279288522916
ENSG00000185624.15_P4HB,-0.024109753435813237,0.2803709577546362
ENSG00000141753.7_IGFBP4,-0.02388230532796405,0.24006612976772548
ENSG00000112118.19_MCM3,-0.023597413625021598,0.15212626691369302
ENSG00000127022.15_CANX,-0.02309343190253266,0.1961979263077439
ENSG00000171345.13_KRT19,-0.022801063907454996,0.2810333813110952
ENSG00000087086.15_FTL,-0.022798512820160086,0.08689360462456255
ENSG00000100234.11_TIMP3,-0.0222667780452599,0.10307171109908475
ENSG00000083845.9_RPS5,-0.022123315294222207,0.08330732933568796
ENSG00000089157.16_RPLP0,-0.021741118445521162,0.09030240822514665
ENSG00000167553.15_TUBA1C,-0.02119423048424485,0.27829591533662557
ENSG00000108679.13_LGALS3BP,-0.02103261366255073,0.1408155799661176
ENSG00000150093.19_ITGB1,-0.020977191707815954,0.25584305723502465
ENSG00000124942.14_AHNAK,-0.020886668979131245,0.19009159254692704
ENSG00000234745.11_HLA-B,-0.020408757193040052,0.17843020197892112
ENSG00000002834.18_LASP1,-0.020199446520063433,0.004708003681135878
ENSG00000125844.15_RRBP1,-0.019960399297177113,0.19292052314715186
ENSG00000135318.12_NT5E,-0.01974820844732291,0.22019667487609584
ENSG00000135624.16_CCT7,-0.019346258140446913,0.22152166457134903
ENSG00000115310.18_RTN4,-0.019154511258157186,0.16218148971975016
ENSG00000150687.12_PRSS23,-0.019095937861117337,0.2563459901505476
ENSG00000171867.16_PRNP,-0.01907468705428367,0.2812985927242414
ENSG00000181163.13_NPM1,-0.018753975348181615,0.28207052951300526
ENSG00000115053.16_NCL,-0.018122061806099682,0.16096657594573055
ENSG00000172270.19_BSG,-0.01801304874592511,0.2814491552875354
ENSG00000176171.11_BNIP3,-0.017909869265862934,0.2822720060709839
ENSG00000163931.16_TKT,-0.017818277034120273,0.2732442667618857
ENSG00000139644.13_TMBIM6,-0.0176213988294364,0.2349457825971922
ENSG00000035862.12_TIMP2,-0.01726057528371377,0.036311176062224754
ENSG00000110955.9_ATP5F1B,-0.016356411355661113,0.14773241539971457
ENSG00000172757.13_CFL1,-0.016196046286980466,0.281613447849116
ENSG00000091409.15_ITGA6,-0.016193699310754553,0.09362446512666928
ENSG00000134294.14_SLC38A2,-0.016157813992013412,0.21686700834079173
ENSG00000155660.11_PDIA4,-0.016001703525967633,0.26258921537320734
ENSG00000133131.15_MORC4,-0.015937984955622986,0.21389725628415585
ENSG00000136830.12_FAM129B,-0.015867376307146012,0.2257548253032361
ENSG00000126777.18_KTN1,-0.015824961165948913,0.19556277576362985
ENSG00000123146.20_ADGRE5,-0.015634707694944003,0.1843482505446642
ENSG00000147604.14_RPL7,-0.015625141400878912,0.2522483233772858
ENSG00000116285.13_ERRFI1,-0.015158795519970715,0.16597601226925857
ENSG00000177697.19_CD151,-0.014942792414698623,0.2823166635474239
ENSG00000126001.16_CEP250,-0.014838536018224251,0.19396110160325583
ENSG00000164032.12_H2AFZ,-0.014628430155332826,0.2734340500363568
ENSG00000188229.6_TUBB4B,-0.014616873357157523,0.2787655575555128
ENSG00000011426.11_ANLN,-0.01430802415997784,0.023118177812227973
ENSG00000104419.14_NDRG1,-0.014185119689308485,0.12292511794274463
ENSG00000197694.15_SPTAN1,-0.01405416268508872,0.2772947198347321
ENSG00000124496.12_TRERF1,-0.013561405244349265,0.18853341272271112
ENSG00000149257.14_SERPINH1,-0.013511515569806213,0.25463875453787643
ENSG00000162909.18_CAPN2,-0.013417667231433944,0.27101312040068193
ENSG00000125378.16_BMP4,-0.013257613817257357,0.19082228750780625
ENSG00000276043.5_UHRF1,-0.013242792440215137,0.03681711962092826
ENSG00000242372.8_EIF6,-0.013210567727570519,0.15144354282566608
ENSG00000152558.15_TMEM123,-0.013202995441047536,0.25905912731753034
ENSG00000044115.21_CTNNA1,-0.013126974534171412,0.040608892427775364
ENSG00000164733.21_CTSB,-0.013115954294808586,0.2747958235807988
ENSG00000176890.16_TYMS,-0.01309289009406049,0.2823113789891642
ENSG00000104368.17_PLAT,-0.013084603870850831,0.12264995677299824
ENSG00000145425.10_RPS3A,-0.01293462535321622,0.24817147593225408
ENSG00000179218.13_CALR,-0.012925383093000342,0.2822365065265453
ENSG00000137312.15_FLOT1,-0.012891659506654825,0.22775515022228818
ENSG00000149136.9_SSRP1,-0.012706583201880122,0.254475664052512
ENSG00000254772.10_EEF1G,-0.012542056846329194,0.11134927113984949
ENSG00000124783.14_SSR1,-0.012518511669394114,0.18958199835383654
ENSG00000196141.14_SPATS2L,-0.012494182861848915,0.27823116691575933
ENSG00000187109.14_NAP1L1,-0.012397560260410598,0.27942922079812804
ENSG00000115756.13_HPCAL1,-0.012292352395343544,0.1639641734132269
ENSG00000089597.18_GANAB,-0.012271428016283807,0.09102190008930898
ENSG00000131747.15_TOP2A,-0.012251541030087111,0.20915351334817922
ENSG00000152234.16_ATP5F1A,-0.012140246469193287,0.2585677494413323
ENSG00000110321.17_EIF4G2,-0.012132419181871449,0.14597769942828998
ENSG00000105220.16_GPI,-0.012124326674247758,0.1266280009764274
ENSG00000099250.18_NRP1,-0.012071098670305334,0.0986204782410072
ENSG00000229117.9_RPL41,-0.012063478462783992,0.20455068952444883
ENSG00000161203.13_AP2M1,-0.011843883155698575,0.2689051665351464
ENSG00000137409.19_MTCH1,-0.011581809938695444,0.22792101266064085
ENSG00000115306.16_SPTBN1,-0.011420369558203228,0.1621320938676914
ENSG00000015479.18_MATR3,-0.01139463804630848,0.02683095232561144
