gene_id,CD-coefficient,Significance
ENSG00000198712.1_MT-CO2,-0.5476028131613785,-0.13698538639689456
ENSG00000115414.19_FN1,-0.29674096276299256,-0.028627200676624547
ENSG00000106366.8_SERPINE1,-0.17782173863441714,-0.01830288552134412
ENSG00000075624.15_ACTB,-0.13266871425319832,-0.0023375333379690444
ENSG00000206503.13_HLA-A,-0.1198949595776089,-0.13197192112252318
ENSG00000198899.2_MT-ATP6,-0.11603808433942918,-0.13690582649059993
ENSG00000026025.16_VIM,-0.11503066281898788,0.002135238921226923
ENSG00000150991.15_UBC,-0.11433708094461509,-0.07924090097575064
ENSG00000231500.7_RPS18,-0.10930355193611459,-0.09868927095650021
ENSG00000087086.15_FTL,-0.10545564467637243,-0.005258648700217167
ENSG00000198804.2_MT-CO1,-0.09589948980024211,-0.136948507470419
ENSG00000234745.11_HLA-B,-0.08026652731929816,-0.09105198399194431
ENSG00000100345.21_MYH9,-0.07316297508698877,-0.00959775150466273
ENSG00000198840.2_MT-ND3,-0.07263096931540156,-0.13693120147215554
ENSG00000212907.2_MT-ND4L,-0.07135053563264435,-0.12639205715557258
ENSG00000198938.2_MT-CO3,-0.07087492003063585,-0.13688824715224934
ENSG00000005884.18_ITGA3,-0.06879147548903107,0.0015615470794010727
ENSG00000210082.2_MT-RNR2,-0.06749260765121014,-0.12858740893902013
ENSG00000228253.1_MT-ATP8,-0.0632354566079796,-0.10625441081072973
ENSG00000135480.16_KRT7,-0.06212193803861147,-0.0552931444374128
ENSG00000196230.13_TUBB,-0.060823191739956664,-0.13710331042621396
ENSG00000137801.10_THBS1,-0.05839484717094665,-0.05985332289111722
ENSG00000178209.15_PLEC,-0.05796958295074574,-0.12668444076236002
ENSG00000142871.17_CCN1,-0.05627565853005922,-0.06784904539080287
ENSG00000170421.12_KRT8,-0.055061404252166955,-0.11405706658965935
ENSG00000130402.12_ACTN4,-0.05496819450588889,-0.04681635192374163
ENSG00000120708.17_TGFBI,-0.05418893492207328,-0.03506253946149066
ENSG00000158710.14_TAGLN2,-0.05278706308668266,-0.08879295216668331
ENSG00000167996.16_FTH1,-0.0524382456951301,-0.10886859157149986
ENSG00000143933.17_CALM2,-0.05229260955029843,-0.07001095130921574
ENSG00000205542.11_TMSB4X,-0.05205999951238472,-0.13253883630900157
ENSG00000188229.6_TUBB4B,-0.05171671597852453,-0.13647774342533137
ENSG00000167658.16_EEF2,-0.049478536697038625,-0.10795782568391117
ENSG00000107984.10_DKK1,-0.048113536502860606,-0.019923134406556235
ENSG00000145592.14_RPL37,-0.04727308837806192,-0.07242362580755299
ENSG00000174748.20_RPL15,-0.046158204610793244,-0.12175760662487715
ENSG00000026508.18_CD44,-0.04531973130626243,0.002125266446650344
ENSG00000087460.24_GNAS,-0.04425996633298987,-0.005461958278658727
ENSG00000148303.17_RPL7A,-0.04255618740298159,-0.07625706498871948
ENSG00000150687.12_PRSS23,-0.042548987799953135,-0.07897152197045147
ENSG00000108679.13_LGALS3BP,-0.0424142734970577,-0.020741295264060898
ENSG00000089157.16_RPLP0,-0.04226488119988969,-0.006040564720311545
ENSG00000070756.16_PABPC1,-0.04186810995443689,-0.001078695494915325
ENSG00000125691.13_RPL23,-0.04168122235157426,-0.04107241652207508
ENSG00000167526.13_RPL13,-0.03921934028533234,-0.10751846351216159
ENSG00000115053.16_NCL,-0.039216549430129116,-0.02801077091464163
ENSG00000170373.8_CST1,-0.03897713588914308,-0.11395104019548238
ENSG00000204628.11_RACK1,-0.038832044562857285,-0.13332368568438296
ENSG00000137818.12_RPLP1,-0.038747143563938206,-0.059968628293605664
ENSG00000118523.6_CCN2,-0.03860256508398021,-0.03249924981250438
ENSG00000072110.13_ACTN1,-0.03619266773773901,-0.0013964961580842164
ENSG00000088832.17_FKBP1A,-0.036019877722136315,-0.00579641967262106
ENSG00000163453.11_IGFBP7,-0.035218766600103577,-0.09664245001561247
ENSG00000161970.14_RPL26,-0.03521329442347153,-0.09307423924611243
ENSG00000163931.16_TKT,-0.03504599416255788,-0.09836949258015569
ENSG00000164587.13_RPS14,-0.03488087706340698,-0.10042209516022677
ENSG00000099194.6_SCD,-0.034464597949335346,-0.008028441856521129
ENSG00000163191.6_S100A11,-0.034057880417179644,-0.09594693316118115
ENSG00000265681.7_RPL17,-0.03382616202477233,-0.0360174811195999
ENSG00000152795.17_HNRNPDL,-0.0332516951132142,-0.08178669694459499
ENSG00000113407.13_TARS,-0.03321484033940655,-0.02635132387385096
ENSG00000265972.5_TXNIP,-0.03147517882221122,-0.03553993596077254
ENSG00000112118.19_MCM3,-0.031313395652830166,-0.02469451197771013
ENSG00000096433.11_ITPR3,-0.03130570011254894,-0.007916764408620242
ENSG00000130635.15_COL5A1,-0.03129105833853623,-0.04719030290105511
ENSG00000166710.19_B2M,-0.030732187899175308,-0.1056474925548238
ENSG00000105974.12_CAV1,-0.03015948583390111,-0.01768640861467597
ENSG00000162909.18_CAPN2,-0.030076130452568194,-0.09514802401336069
ENSG00000141522.12_ARHGDIA,-0.030042473969827732,-0.06611904892145898
ENSG00000169045.17_HNRNPH1,-0.02959227022153489,-0.11119383206582159
ENSG00000105640.13_RPL18A,-0.02956552252447134,-0.0170008102405233
ENSG00000197746.14_PSAP,-0.029514253511022916,-0.13713757444192726
ENSG00000117525.14_F3,-0.02926879097134167,-0.03151917985697958
ENSG00000104824.17_HNRNPL,-0.02914111262659929,-0.015459165732792948
ENSG00000242372.8_EIF6,-0.028696319899407765,-0.07735090418328516
ENSG00000101439.9_CST3,-0.028637571987111147,-0.011684070218795015
ENSG00000204525.16_HLA-C,-0.028088495237479034,-0.1334623563536311
ENSG00000145741.15_BTF3,-0.027836158222217137,-0.07267156478471028
ENSG00000102265.12_TIMP1,-0.027702934376637643,-0.012750547785164448
ENSG00000175061.17_SNHG29,-0.027671660964196917,-0.12220951378098206
ENSG00000177697.19_CD151,-0.02763430901389287,-0.12604864958872317
ENSG00000071082.11_RPL31,-0.027481339202248156,-0.0011946701936642878
ENSG00000162734.12_PEA15,-0.027269239356003318,-0.09466558700562915
ENSG00000182774.12_RPS17,-0.027082331905864083,-0.13171339053935976
ENSG00000112081.17_SRSF3,-0.027014335380832206,-0.024647898517147354
ENSG00000136942.15_RPL35,-0.026268988519354677,-0.05832815408083557
ENSG00000101160.14_CTSZ,-0.02594394990018812,-0.011048810746396524
ENSG00000182871.15_COL18A1,-0.025795305294175088,-0.13182035434009015
ENSG00000128591.15_FLNC,-0.025655868013925495,-0.04458962539442097
