"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000023445.14_BIRC3",2065.4824941705,2.21866292460763,0.0993710889062703,22.3270465185335,2.01833092786558e-110,2.59254607684334e-106
"ENSG00000100906.10_NFKBIA",1144.42996401805,1.3857556842035,0.0671540180237823,20.6354842939217,1.3181832618632e-94,8.46603199931641e-91
"ENSG00000146232.16_NFKBIE",1191.86171579918,1.28901759749558,0.0666639284615058,19.3360581538471,2.67131342396375e-83,1.14376736436048e-79
"ENSG00000169429.11_CXCL8",437.330156887993,2.33972842415722,0.127300634288389,18.3795504023708,1.91549639253843e-75,6.15113779053905e-72
"ENSG00000056558.11_TRAF1",633.497064148352,1.52619905252915,0.087102429857386,17.5218883678448,9.75336316952493e-69,2.50563899825095e-65
"ENSG00000122861.16_PLAU",8355.47628577719,0.724585387408857,0.043043983249804,16.8336044367398,1.38413423059012e-63,2.96320069865502e-60
"ENSG00000164400.6_CSF2",356.283606500933,2.34210867441855,0.139452579798274,16.7950186207136,2.65421153781624e-63,4.87047817189279e-60
"ENSG00000095752.7_IL11",432.920554987951,1.4791751684424,0.0913282795303474,16.1962447562683,5.36019913047907e-59,8.43687291550392e-56
"ENSG00000148677.6_ANKRD1",5625.33529240465,0.898929412729391,0.0555229790171822,16.1902230147126,5.91139402409773e-59,8.43687291550392e-56
"ENSG00000171223.6_JUNB",800.391043256733,1.75219021772799,0.108710311971966,16.1179761693614,1.90754684802892e-58,2.45024392629315e-55
"ENSG00000124225.16_PMEPA1",2042.48378459322,0.72624150266622,0.0463906198212393,15.6549213066069,3.07493366111237e-55,3.59068389790803e-52
"ENSG00000077150.19_NFKB2",1889.78046799813,1.01219755986642,0.0702168927479442,14.4152997982961,4.14634829990573e-47,4.4383203260241e-44
"ENSG00000113070.8_HBEGF",1434.69020678944,0.834657721463135,0.05866913113221,14.2265226253691,6.27240993673004e-46,6.19762351056133e-43
"ENSG00000128342.5_LIF",1012.87935763207,0.969947914645074,0.0693469718499865,13.9868820334837,1.87451592626341e-44,1.71986836234667e-41
"ENSG00000114812.13_VIPR1",552.928130319851,1.1085274034395,0.0823038397974117,13.4687203679453,2.3897166308389e-41,2.04639400820838e-38
"ENSG00000136244.12_IL6",318.485229817169,1.62775820015738,0.121889645573503,13.3543599417212,1.11714233053772e-40,8.96855827234815e-38
"ENSG00000118503.15_TNFAIP3",243.945110870773,1.56776473533717,0.120506027963392,13.0098449167492,1.07560150861307e-38,8.1271184577264e-36
