gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000128965.13_CHAC1,151.8199739,-1.334709717,0.199485448,-6.690762326,2.22E-11,5.35E-09
ENSG00000164056.11_SPRY1,186.2045984,-1.115171078,0.166604984,-6.693503711,2.18E-11,5.35E-09
ENSG00000134363.12_FST,1055.115098,0.528190992,0.079108951,6.676753812,2.44E-11,5.78E-09
ENSG00000142910.16_TINAGL1,3539.527584,0.457657214,0.068923992,6.640027641,3.14E-11,7.28E-09
ENSG00000113645.14_WWC1,1424.800109,0.464684216,0.07055349,6.586268341,4.51E-11,1.03E-08
ENSG00000168297.15_PXK,1334.094624,0.428766753,0.065257062,6.570426893,5.02E-11,1.12E-08
ENSG00000178038.17_ALS2CL,727.1826864,0.804065024,0.122715414,6.552274086,5.67E-11,1.24E-08
ENSG00000090339.9_ICAM1,1019.682297,0.54923864,0.084121989,6.529073381,6.62E-11,1.43E-08
ENSG00000143847.15_PPFIA4,157.0075231,-1.236808366,0.189686306,-6.520282855,7.02E-11,1.49E-08
ENSG00000138623.10_SEMA7A,1289.90524,0.489439384,0.075142354,6.513495489,7.34E-11,1.53E-08
ENSG00000179041.4_RRS1,837.3878084,0.671693155,0.103185072,6.509596245,7.54E-11,1.54E-08
ENSG00000117877.10_CD3EAP,920.7092389,0.486303774,0.074820961,6.499565992,8.06E-11,1.62E-08
ENSG00000113070.8_HBEGF,1434.690207,0.418150966,0.064445072,6.488486326,8.67E-11,1.72E-08
ENSG00000111641.11_NOP2,1466.776483,0.580088598,0.089573784,6.476097941,9.41E-11,1.84E-08
ENSG00000168994.13_PXDC1,1241.447666,0.508140894,0.07868137,6.458211071,1.06E-10,2.04E-08
ENSG00000175592.8_FOSL1,10661.33169,0.597161812,0.092644587,6.445728066,1.15E-10,2.18E-08
ENSG00000204569.10_PPP1R10,1439.331737,0.421525924,0.066155898,6.371705885,1.87E-10,3.48E-08
ENSG00000143867.7_OSR1,232.5913961,-0.978865957,0.154613271,-6.331060376,2.43E-10,4.47E-08
ENSG00000134259.3_NGF,195.2407234,1.01720518,0.161397478,6.302484976,2.93E-10,5.30E-08
ENSG00000112149.10_CD83,319.2397616,0.740721385,0.117960892,6.27938102,3.40E-10,6.06E-08
ENSG00000144746.7_ARL6IP5,1485.5454,-0.45723905,0.072920849,-6.27034734,3.60E-10,6.33E-08
ENSG00000176697.19_BDNF,860.4608757,0.469139831,0.074978649,6.256978969,3.93E-10,6.80E-08
ENSG00000100234.11_TIMP3,6173.208852,-0.337264169,0.053953643,-6.250999047,4.08E-10,6.96E-08
ENSG00000137331.12_IER3,7378.575238,0.536503126,0.086096785,6.231395597,4.62E-10,7.79E-08
ENSG00000077044.10_DGKD,973.4463819,0.642233059,0.103840102,6.184826945,6.22E-10,1.03E-07
ENSG00000136244.12_IL6,318.4852298,0.795590834,0.128819974,6.175989706,6.58E-10,1.08E-07
ENSG00000040275.17_SPDL1,2080.417791,0.439312056,0.071368866,6.155514,7.48E-10,1.21E-07
ENSG00000163870.15_TPRA1,563.6120765,0.577128742,0.093844781,6.14982246,7.76E-10,1.24E-07
ENSG00000166592.12_RRAD,269.7064689,0.916055202,0.149153471,6.141695497,8.16E-10,1.29E-07
ENSG00000214517.10_PPME1,2032.778744,0.301545522,0.049357935,6.109362581,1.00E-09,1.56E-07
ENSG00000140153.17_WDR20,515.8887406,0.533362604,0.087426162,6.100720808,1.06E-09,1.62E-07
ENSG00000104419.14_NDRG1,2155.221927,-0.721636759,0.118488444,-6.09035559,1.13E-09,1.71E-07
ENSG00000133639.5_BTG1,1093.953435,-0.386866123,0.063773355,-6.066265808,1.31E-09,1.96E-07
ENSG00000247095.2_MIR210HG,151.2833194,-1.060890346,0.175106318,-6.05854978,1.37E-09,2.03E-07
ENSG00000116560.11_SFPQ,6389.841747,0.27332476,0.045177132,6.050068866,1.45E-09,2.12E-07
ENSG00000116285.13_ERRFI1,7765.138513,-0.314511221,0.052211969,-6.023737975,1.70E-09,2.44E-07
ENSG00000165684.4_SNAPC4,363.5384071,0.783570192,0.130041773,6.025526851,1.69E-09,2.44E-07
ENSG00000183963.18_SMTN,1455.261596,0.483049411,0.080361812,6.010932332,1.84E-09,2.61E-07
ENSG00000152256.13_PDK1,453.8800057,-0.696724443,0.116423192,-5.984412801,2.17E-09,3.03E-07
ENSG00000149658.18_YTHDF1,1525.892275,0.303127607,0.050733078,5.974949997,2.30E-09,3.18E-07
ENSG00000161547.16_SRSF2,4407.918546,0.271852926,0.04552132,5.971991316,2.34E-09,3.20E-07
ENSG00000099860.9_GADD45B,926.5563914,-0.59869724,0.100289154,-5.969710756,2.38E-09,3.21E-07
ENSG00000119922.10_IFIT2,847.1929049,-0.500046196,0.083917923,-5.958753215,2.54E-09,3.40E-07
ENSG00000138764.15_CCNG2,290.4158108,-0.975930624,0.164485112,-5.93324593,2.97E-09,3.93E-07
ENSG00000139289.13_PHLDA1,7544.921533,0.224876759,0.037961865,5.923754277,3.15E-09,4.12E-07
ENSG00000124762.13_CDKN1A,2194.236192,0.386997934,0.065387843,5.918499768,3.25E-09,4.20E-07
ENSG00000123689.6_G0S2,4601.529644,0.62455012,0.106202462,5.880749899,4.08E-09,5.23E-07
ENSG00000145365.11_TIFA,284.8573388,0.704001859,0.120165978,5.858578865,4.67E-09,5.92E-07
ENSG00000111077.17_TNS2,561.9767448,-0.541821689,0.092622224,-5.849802186,4.92E-09,6.17E-07
ENSG00000105722.10_ERF,770.7453891,0.55387057,0.095242107,5.815396043,6.05E-09,7.51E-07
ENSG00000006468.14_ETV1,557.1512808,-0.808480417,0.139436447,-5.798200056,6.70E-09,8.24E-07
ENSG00000116815.16_CD58,541.4325721,-0.506297531,0.087809618,-5.765855034,8.12E-09,9.89E-07
ENSG00000101040.19_ZMYND8,969.1155046,-0.500245912,0.087115613,-5.742322111,9.34E-09,1.11E-06
ENSG00000108179.14_PPIF,2617.639648,0.366836264,0.063898456,5.740925339,9.42E-09,1.11E-06
ENSG00000167074.15_TEF,136.6234483,-0.971975794,0.169213881,-5.744066561,9.24E-09,1.11E-06
ENSG00000110047.18_EHD1,5890.65059,0.387818094,0.06768811,5.72948621,1.01E-08,1.18E-06
ENSG00000166387.13_PPFIBP2,69.11977019,-1.471629774,0.257129687,-5.723297806,1.04E-08,1.21E-06
ENSG00000107984.10_DKK1,10420.66165,0.38187626,0.066770651,5.719223278,1.07E-08,1.23E-06
ENSG00000120217.14_CD274,627.1316333,0.57035467,0.099942508,5.706827646,1.15E-08,1.31E-06
ENSG00000081041.9_CXCL2,113.952677,1.156010343,0.202828592,5.699444705,1.20E-08,1.36E-06
ENSG00000113240.13_CLK4,248.4278416,0.754223732,0.132375144,5.697623519,1.21E-08,1.36E-06
ENSG00000103642.12_LACTB,623.54452,0.519577316,0.091298343,5.690982976,1.26E-08,1.40E-06
ENSG00000173281.5_PPP1R3B,215.5404001,-0.783674944,0.137742892,-5.689403896,1.27E-08,1.40E-06
ENSG00000020577.13_SAMD4A,929.6012953,0.551477233,0.097033866,5.683348045,1.32E-08,1.44E-06
ENSG00000189143.9_CLDN4,1094.738862,-0.480441895,0.084797385,-5.665763067,1.46E-08,1.58E-06
ENSG00000167034.10_NKX3-1,384.1833648,0.608205167,0.107401645,5.66290363,1.49E-08,1.59E-06
ENSG00000155324.9_GRAMD2B,791.0164103,0.542278202,0.095926448,5.653062471,1.58E-08,1.67E-06
ENSG00000171793.15_CTPS1,2112.142729,0.307043155,0.054423114,5.641778548,1.68E-08,1.77E-06
ENSG00000168502.17_MTCL1,972.1785193,0.393316249,0.070308524,5.594147469,2.22E-08,2.31E-06
ENSG00000143067.5_ZNF697,426.4493488,0.672625691,0.121208748,5.549316369,2.87E-08,2.96E-06
ENSG00000184402.15_SS18L1,484.805099,0.568820388,0.102785755,5.534039106,3.13E-08,3.21E-06
ENSG00000130810.20_PPAN,924.452765,0.462709629,0.083841856,5.518838129,3.41E-08,3.47E-06
ENSG00000183421.12_RIPK4,328.2488158,0.818300152,0.148498848,5.510481498,3.58E-08,3.61E-06
ENSG00000124201.15_ZNFX1,1575.966888,0.396042531,0.072506716,5.462149618,4.70E-08,4.70E-06
ENSG00000167565.13_SERTAD3,388.0865065,0.585763541,0.107280653,5.460104171,4.76E-08,4.72E-06
ENSG00000131746.13_TNS4,425.093688,-0.576487201,0.105674726,-5.455298761,4.89E-08,4.81E-06
ENSG00000147454.14_SLC25A37,2305.572935,0.415348739,0.076183348,5.45196226,4.98E-08,4.86E-06
ENSG00000176171.11_BNIP3,3464.429717,-0.294999748,0.05421964,-5.440828196,5.30E-08,5.13E-06
ENSG00000198853.12_RUSC2,1068.251858,0.411520167,0.075772553,5.430992458,5.60E-08,5.38E-06
ENSG00000159128.14_IFNGR2,1277.364839,0.402227175,0.074489761,5.399764578,6.67E-08,6.36E-06
ENSG00000071575.11_TRIB2,531.4273421,-0.516513071,0.095687419,-5.397920379,6.74E-08,6.38E-06
ENSG00000111424.10_VDR,197.1668136,0.747430193,0.138632783,5.391439009,6.99E-08,6.56E-06
ENSG00000282057.1_AC092807.3,67.53242202,1.279663256,0.237906692,5.378845152,7.50E-08,6.98E-06
ENSG00000124789.11_NUP153,3349.688344,0.448947222,0.083791556,5.357905279,8.42E-08,7.78E-06
ENSG00000121797.10_CCRL2,410.4509219,-0.579161674,0.108640268,-5.331003752,9.77E-08,8.96E-06
