"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000124225.16_PMEPA1",2042.48378459322,-1.11163774681964,0.0470297973026798,-23.6368815214158,1.61042942204078e-123,2.24558278609366e-119
"ENSG00000106366.8_SERPINE1",19531.6705904591,-0.791141060675672,0.0397628368484478,-19.8964943998093,4.36404008510711e-88,3.04260874733668e-84
"ENSG00000120129.6_DUSP1",541.994625771394,-1.44319657903781,0.0767936637473146,-18.7931726214622,8.58878373577883e-79,3.99206668039e-75
"ENSG00000056558.11_TRAF1",633.497064148352,-1.3316781170137,0.0764591801009495,-17.4168506025762,6.14687934839384e-68,2.14280214085009e-64
"ENSG00000124762.13_CDKN1A",2194.23619226297,-0.954063631399883,0.0568744573891393,-16.7749052069562,3.72452922844903e-63,1.03869671122987e-59
"ENSG00000112984.12_KIF20A",2779.32147315266,0.630557728694302,0.0456956546825538,13.7990741805707,2.58146624718492e-43,5.99932755845776e-40
"ENSG00000139211.6_AMIGO2",1101.81419058769,-1.03076787844669,0.0766310811229164,-13.4510418402337,3.03564822407466e-41,6.04701126235673e-38
"ENSG00000125730.16_C3",357.036768644652,-1.91119078374748,0.14416967782173,-13.2565378006236,4.13551841639903e-40,7.20820859978351e-37
"ENSG00000113645.14_WWC1",1424.80010936204,-0.765396295555712,0.0601864715449621,-12.7170820270453,4.75279439897115e-37,7.36366278880596e-34
"ENSG00000126368.6_NR1D1",194.363740106264,1.94504187990517,0.153861379133472,12.641521159237,1.24619405340158e-36,1.73769298806316e-33
"ENSG00000146670.10_CDCA5",2074.64706271032,-0.598044217310142,0.0480118378203444,-12.4561825678901,1.29418779446623e-35,1.64055950963974e-32
"ENSG00000185745.10_IFIT1",775.698908353156,0.928961773914068,0.0776059984214202,11.9702315904702,5.08863910624112e-33,5.91299864145218e-30
"ENSG00000132002.8_DNAJB1",3118.53689475518,-0.535290579378836,0.0454819032339269,-11.7693091387508,5.61827193143525e-32,6.02624490861024e-29
"ENSG00000067082.15_KLF6",3240.7327083288,-0.601761659963863,0.0524494829900895,-11.4731666673925,1.79951300083146e-30,1.79231494882813e-27
"ENSG00000204388.7_HSPA1B",3698.74533287813,-0.770555637644577,0.0697807600066599,-11.0425228611875,2.38248227875283e-28,2.21475552632863e-25
"ENSG00000243649.8_CFB",814.961401946445,-0.879404036388365,0.0815295262859621,-10.7863258435218,3.99441253139101e-27,3.48113052110726e-24
"ENSG00000114812.13_VIPR1",552.928130319851,-0.957768740432483,0.0889520294123295,-10.7672500195901,4.91461522260086e-27,3.80718859244147e-24
"ENSG00000117877.10_CD3EAP",920.709238867342,-0.734716045094223,0.0682177237369024,-10.7701636004131,4.76154351481888e-27,3.80718859244147e-24
"ENSG00000044574.8_HSPA5",18206.698464037,0.509699462261175,0.0474792069372186,10.7352143209794,6.95573823375392e-27,5.1047796806034e-24
"ENSG00000120708.17_TGFBI",4331.95852825045,-0.570509738570978,0.0536798669354961,-10.6280021009837,2.20791641223122e-26,1.53935932260761e-23
