"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000124225.16_PMEPA1",2042.48378459322,-1.16923640828733,0.0519125014557817,-22.5232145533049,2.45870306797134e-112,3.69887289545609e-108
"ENSG00000106366.8_SERPINE1",19531.6705904591,-0.837013922180233,0.0401767763753035,-20.8332772734535,2.16152530382918e-96,1.62589933354031e-92
"ENSG00000023445.14_BIRC3",2065.4824941705,2.04406026119191,0.0993015213209735,20.5843801182549,3.7885225659465e-94,1.89981778273664e-90
"ENSG00000184371.14_CSF1",3482.33663411888,0.97070163985244,0.0507907928618871,19.1117638681487,2.0154021628865e-81,7.57992753461611e-78
"ENSG00000056558.11_TRAF1",633.497064148352,1.60197064801345,0.0858267198458297,18.6651738630005,9.50652837663969e-78,2.86032425796335e-74
"ENSG00000090339.9_ICAM1",1019.68229671649,1.29681915912909,0.0712954943339399,18.189356441726,6.26717093821862e-74,1.57138865990935e-70
"ENSG00000120708.17_TGFBI",4331.95852825045,-0.839807984248832,0.0543750453139034,-15.4447316669012,8.18676204274033e-54,1.75945211672837e-50
"ENSG00000146674.15_IGFBP3",1345.37783362974,-0.925134053503172,0.0610005347804303,-15.1659990659617,5.93883044272443e-52,1.11679706475433e-48
"ENSG00000160182.3_TFF1",135.267965006115,-3.05968334167947,0.206499820908035,-14.8168813329969,1.13953534358522e-49,1.90479663432178e-46
"ENSG00000145901.15_TNIP1",2776.50991859047,0.70071788922627,0.0475614834418114,14.7328854888127,3.96411852732943e-49,5.96361991251439e-46
"ENSG00000127824.14_TUBA4A",1802.45159234375,-0.975746602665474,0.068552570147116,-14.2335524484566,5.67253861098471e-46,7.757970078514e-43
"ENSG00000118523.6_CCN2",4486.67822381232,-0.767050982165332,0.0553552188267309,-13.8568864584621,1.15579950105347e-43,1.4489873078207e-40
"ENSG00000125730.16_C3",357.036768644652,-2.03221630890646,0.147119043184812,-13.8134143949915,2.11561382264044e-43,2.44825341136945e-40
"ENSG00000117877.10_CD3EAP",920.709238867342,-0.948107945520208,0.0728820378708623,-13.0088012522391,1.09039140610496e-38,1.17170345096021e-35
"ENSG00000095752.7_IL11",432.920554987951,1.14767143303746,0.0916983303383606,12.5157287902913,6.12431647561187e-36,6.14228113727366e-33
"ENSG00000120875.9_DUSP4",3968.01135731085,0.650473911372309,0.0525231558217712,12.3845169086866,3.16987896860161e-35,2.98047870022767e-32
"ENSG00000119922.10_IFIT2",847.192904895186,0.825660531486458,0.0694424012078011,11.8898614841346,1.33628014860826e-32,1.18252932680369e-29
"ENSG00000100906.10_NFKBIA",1144.42996401805,0.788256600869243,0.068041094539678,11.5850076516564,4.90922767503622e-31,4.10302339684694e-28
"ENSG00000243649.8_CFB",814.961401946445,-0.918595126656892,0.0815493540896167,-11.2642845171701,1.96945095365351e-29,1.55939053404018e-26
"ENSG00000122952.17_ZWINT",3331.13533448571,-0.503985205263234,0.0453845820699377,-11.1047669115162,1.1892723206511e-28,8.94570639593758e-26
"ENSG00000109861.16_CTSC",2794.51414261032,-0.473269201514753,0.0430864055685721,-10.9841885223297,4.5531190483672e-28,3.26176776017315e-25
"ENSG00000087074.8_PPP1R15A",3272.83520257276,-0.631370842005836,0.0580959738849503,-10.8677211136208,1.64252272795074e-27,1.12318690542232e-24
"ENSG00000107201.10_DDX58",665.140854732101,1.04095049090375,0.0959112320846073,10.8532699276085,1.92415961295199e-27,1.25856770509781e-24
"ENSG00000163975.12_MELTF",2754.98769146283,-0.682102146649864,0.0634341301189919,-10.7529203186101,5.74145087043893e-27,3.5989327872868e-24
"ENSG00000104824.17_HNRNPL",6125.16791627211,-0.513574805858148,0.0483577838349472,-10.6203131146593,2.39755558026288e-26,1.44275304597899e-23
"ENSG00000075426.12_FOSL2",2493.80616651034,0.869082443612289,0.0821865275379862,10.5745122667532,3.91207664420451e-26,2.26358773213126e-23
"ENSG00000131459.13_GFPT2",702.898498780417,0.762255017748942,0.0728544682889045,10.4627078565205,1.28140296635202e-25,7.13978749103696e-23
"ENSG00000099860.9_GADD45B",926.556391351279,-1.00657768216519,0.0965878425691995,-10.4213703856574,1.9807831572944e-25,1.06424649351204e-22
"ENSG00000185745.10_IFIT1",775.698908353156,0.753092453835625,0.0724018804976059,10.4015593056389,2.43908724155601e-25,1.26529753317133e-22
"ENSG00000152795.17_HNRNPDL",6283.40563596319,-0.696098044772544,0.0703301961599191,-9.8975700734537,4.26511883929088e-23,2.1388149272764e-20
"ENSG00000102312.21_PORCN",668.500254101338,-0.872344606365328,0.0887287385253727,-9.8315903151928,8.23085863945564e-23,3.93897703683279e-20
"ENSG00000119917.14_IFIT3",1539.34756171597,0.72220538031774,0.0734710213310021,9.82979911309597,8.37857386191499e-23,3.93897703683279e-20
"ENSG00000196611.5_MMP1",997.665139453316,0.820155649498321,0.0835454408910525,9.8168809781954,9.52448690877622e-23,4.34201154714029e-20
"ENSG00000197594.13_ENPP1",1460.44612030056,0.677072539835736,0.069149027478452,9.79149764682841,1.22468260344851e-22,5.41886031949393e-20
"ENSG00000149177.13_PTPRJ",2073.75583407537,0.872361196638345,0.0893300528840003,9.76559588262139,1.58179369062819e-22,6.79900122337444e-20
"ENSG00000138131.4_LOXL4",1730.48493490366,0.546683644324311,0.0561825828347155,9.73048259337969,2.23529934644855e-22,9.34106760221445e-20
"ENSG00000168209.5_DDIT4",1352.3597050135,0.67402946102734,0.069587176946834,9.68611589951855,3.45415578324726e-22,1.40444107035599e-19
