"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168209.5_DDIT4",1352.3597050135,-1.08273716487946,0.0854812529329064,-12.6663698498814,9.08209914011511e-37,1.31635944936828e-32
"ENSG00000142871.17_CCN1",22591.1508262514,0.853400361352727,0.0720117973376372,11.8508410136112,2.13041879064541e-32,1.54391449758073e-28
"ENSG00000099860.9_GADD45B",926.556391351279,1.06697689057486,0.100792809077113,10.5858433785544,3.46644829217869e-26,1.67475671822793e-22
"ENSG00000138166.6_DUSP5",1210.38166354653,0.65084989900757,0.0625407890466605,10.4068066445721,2.3083527611499e-25,8.36431623002666e-22
"ENSG00000118523.6_CCN2",4486.67822381232,0.616994564255829,0.0603320802879994,10.226641635935,1.50653430603188e-24,4.36714164632523e-21
"ENSG00000078401.7_EDN1",449.654511869953,1.07192808803952,0.109973679295799,9.74713308587528,1.89751244601127e-22,4.58375756541455e-19
"ENSG00000087074.8_PPP1R15A",3272.83520257276,0.584303002048552,0.0630291198033359,9.27036588598571,1.85508457523549e-20,3.84108511906616e-17
"ENSG00000100906.10_NFKBIA",1144.42996401805,0.670270717852499,0.0760797496426436,8.81010677612436,1.25026711061346e-18,2.26517143765393e-15
"ENSG00000162772.17_ATF3",201.882087147115,1.14070320161435,0.139457879826478,8.17955359018572,2.8489734760531e-16,4.58811350687929e-13
"ENSG00000184635.15_ZNF93",195.323376116655,1.11214793324751,0.14004135956979,7.94156766732375,1.99641744163348e-15,2.89360743990357e-12
"ENSG00000173281.5_PPP1R3B",215.540400130881,1.06942122702426,0.1380486792291,7.74669654933454,9.43139799529442e-15,1.2427152958527e-11
"ENSG00000116717.13_GADD45A",1632.07924601321,0.757701516116661,0.0986109647668667,7.68374508765833,1.54503952616793e-14,1.86615024102317e-11
"ENSG00000163545.8_NUAK2",147.151827404002,1.32725224684388,0.193503572252487,6.85905811140302,6.93160403029252e-12,7.71625927736318e-09
"ENSG00000163659.13_TIPARP",1301.53607698575,0.587633393569541,0.0858023864326423,6.84868356232554,7.45326548110146e-12,7.71625927736318e-09
"ENSG00000115963.13_RND3",1957.52809285446,0.432206006596053,0.064052750433482,6.74765726172671,1.50251349611946e-11,1.45182870751703e-08
"ENSG00000112658.8_SRF",2485.94627260957,0.327078358173092,0.0508028911864532,6.43818394060827,1.20911420214408e-10,1.09530632786727e-07
"ENSG00000148677.6_ANKRD1",5625.33529240465,0.397671822639346,0.0622168967037497,6.39170134976178,1.64050074737566e-10,1.3986716372037e-07
"ENSG00000171223.6_JUNB",800.391043256733,0.78086914389796,0.122810293996376,6.35833624761947,2.03950644198989e-10,1.64225590945564e-07
"ENSG00000113070.8_HBEGF",1434.69020678944,0.416506755107284,0.0659385449632564,6.31659002089564,2.67397715212067e-10,2.03982236014931e-07
"ENSG00000171617.14_ENC1",3560.65030310443,0.4028774815346,0.0643700889694005,6.25876844330781,3.88029513124562e-10,2.8120498816137e-07
"ENSG00000136244.12_IL6",318.485229817169,0.832167366237478,0.138394629249815,6.01300332786282,1.82117296774581e-09,1.2569562378337e-06
"ENSG00000163874.11_ZC3H12A",176.678441732362,1.03578560075683,0.173532511528553,5.96882734902619,2.38964810626363e-09,1.57434362055387e-06
"ENSG00000170345.10_FOS",416.00035887308,-0.961953695353478,0.161742579942694,-5.94743632563732,2.72374665511232e-09,1.71643408779122e-06
"ENSG00000040633.13_PHF23",898.73933216223,-0.471768287964598,0.0795551135203762,-5.93008126176283,3.02784794528777e-09,1.8285678382917e-06
"ENSG00000118515.11_SGK1",648.670129762889,0.535266300870802,0.0938793317438592,5.70164157464633,1.18659125318031e-08,6.87938144943819e-06
"ENSG00000117525.14_F3",11316.3035734153,0.311901214793661,0.0553196853959016,5.63815959113839,1.7187718376994e-08,9.58149192908273e-06
"ENSG00000166483.11_WEE1",647.474873189441,0.511346148922275,0.0943782753084362,5.4180493047913,6.02528022233281e-08,3.23445968675895e-05
"ENSG00000139211.6_AMIGO2",1101.81419058769,0.446802261308233,0.083734080352725,5.33596666287017,9.50368633776617e-08,4.91951534927082e-05
"ENSG00000143367.16_TUFT1",859.796958530684,0.413516649399675,0.0785709834098985,5.26296899254006,1.41747492118829e-07,6.8855719382443e-05
"ENSG00000267519.6_AC020916.1",279.115544050641,0.88374346315769,0.167949125312443,5.26197121606692,1.42519082480564e-07,6.8855719382443e-05
"ENSG00000204569.10_PPP1R10",1439.33173743235,-0.33562709011603,0.0657113865334219,-5.10759409931679,3.26286617908158e-07,0.000152554781934221
"ENSG00000144655.15_CSRNP1",267.190930631811,0.592072119081069,0.119357816714254,4.96048047274948,7.03190302874334e-07,0.000318501257808144
"ENSG00000183421.12_RIPK4",328.248815825834,-0.725216450198426,0.147522654894797,-4.91596664061938,8.83454418616949e-07,0.000388023889194972
"ENSG00000143384.13_MCL1",5345.87899673015,0.230044843002856,0.0485786214582844,4.73551607882493,2.18498380657127e-06,0.000931445743895413
"ENSG00000137331.12_IER3",7378.57523826545,0.405002831095139,0.0863712000343528,4.68909579737292,2.74414907265244e-06,0.00113639133311498
"ENSG00000120875.9_DUSP4",3968.01135731085,-0.273882189956641,0.0601357979457675,-4.55439520738774,5.25365058620127e-06,0.00205801112422706
"ENSG00000269378.1_AC022149.1",476.586290116325,-0.96322262821182,0.211252991238682,-4.55956918083841,5.12586690465775e-06,0.00205801112422706
"ENSG00000062716.13_VMP1",2520.42798097596,0.357651906723931,0.079526452074629,4.49726974351004,6.88316393260537e-06,0.00256048593301763
"ENSG00000177606.6_JUN",2767.37840827026,0.380815783203702,0.0846808918840479,4.49706863887483,6.88967513368895e-06,0.00256048593301763
"ENSG00000164400.6_CSF2",356.283606500933,0.720114532888335,0.161075449244549,4.47066599078697,7.79763965946241e-06,0.0028254747306062
"ENSG00000101665.9_SMAD7",293.827259135739,0.502618143900214,0.114758132118138,4.37980415525405,1.18786017344062e-05,0.004045272148545
"ENSG00000250264.1_AL669918.1",137.593663264513,-1.59417296886956,0.363995172258327,-4.37965415579243,1.18867808326907e-05,0.004045272148545
"ENSG00000270069.1_MIR222HG",389.744316653638,0.688349864930401,0.157244942924822,4.37756440446862,1.20012903537626e-05,0.004045272148545
"ENSG00000091542.9_ALKBH5",1505.7342753055,-0.284019545631752,0.0650073395460026,-4.36903813654403,1.24794974284626e-05,0.0041108599029122
"ENSG00000118503.15_TNFAIP3",243.945110870773,0.597494851748458,0.139662931022549,4.27812052470809,1.88477967013447e-05,0.00607066589753977
"ENSG00000120217.14_CD274",627.13163332064,0.439868936420347,0.102984198359409,4.27122746428756,1.94399998253126e-05,0.0061252903797409
"ENSG00000233237.7_LINC00472",676.289978052602,0.497135013351775,0.116916105501418,4.25206613938869,2.11807282089902e-05,0.00653177605661923
"ENSG00000139613.12_SMARCC2",1015.49347262005,-0.283447511948625,0.0682191147759593,-4.15495734413302,3.25348232953855e-05,0.00962366793557791
