"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000112984.12_KIF20A",2779.32147315266,0.732723165400541,0.0459601233146487,15.9425848443492,3.2080487929105e-57,4.12073867449354e-53
"ENSG00000160182.3_TFF1",135.267965006115,-2.79305188797957,0.191571021481114,-14.5797201809821,3.7806313228396e-48,2.42811046709373e-44
"ENSG00000125730.16_C3",357.036768644652,-1.90689221717045,0.144265880805029,-13.2179016031348,6.91667306193755e-40,2.96148884935293e-36
"ENSG00000023445.14_BIRC3",2065.4824941705,1.3175239650702,0.0999698899192545,13.1792079208486,1.155981082711e-39,3.71214425185571e-36
"ENSG00000112118.19_MCM3",7630.40431757038,-0.405764296602661,0.0335604996183215,-12.0905320605282,1.18516698603522e-33,2.83972737706387e-30
"ENSG00000243649.8_CFB",814.961401946445,-0.982282735397555,0.0813062107927606,-12.081275536272,1.32645887601271e-33,2.83972737706387e-30
"ENSG00000118523.6_CCN2",4486.67822381232,-0.661679874218572,0.0550639934316431,-12.0165616945307,2.90822833606082e-33,5.33659899667161e-30
"ENSG00000168209.5_DDIT4",1352.3597050135,0.774910580674867,0.0692527812205806,11.1895950894255,4.58522705647696e-29,7.36215519255582e-26
"ENSG00000146674.15_IGFBP3",1345.37783362974,-0.649316408579458,0.0594937323397088,-10.9140304876464,9.87775718102279e-28,1.40977545544709e-24
"ENSG00000090339.9_ICAM1",1019.68229671649,0.783459654895024,0.0723310172699386,10.8315862885097,2.43893101107715e-27,3.1328068837286e-24
"ENSG00000170345.10_FOS",416.00035887308,-1.57153934289272,0.146501333934197,-10.7271333351722,7.59147510981997e-27,8.86477252596705e-24
"ENSG00000163975.12_MELTF",2754.98769146283,-0.643615165953229,0.0631855648314054,-10.186110825638,2.28732464936679e-24,2.4483904267597e-21
"ENSG00000184371.14_CSF1",3482.33663411888,0.519585539447336,0.0511359712577942,10.1608618486569,2.96444262639095e-24,2.92909734892244e-21
"ENSG00000134339.8_SAA2",406.258987466132,-1.02971771959744,0.106804278087998,-9.64116548542219,5.35761851193781e-22,4.91561498470294e-19
"ENSG00000122861.16_PLAU",8355.47628577719,0.412469818766864,0.0430170904341064,9.5885103944602,8.93658612103803e-22,7.6526965816489e-19
"ENSG00000101412.13_E2F1",2016.19487974556,-0.6003153203624,0.0628659838096888,-9.54912790643198,1.3079261985201e-21,1.05001950124942e-18
"ENSG00000087586.17_AURKA",3241.25509129561,0.485259278988078,0.0512723489004375,9.46434656095769,2.95402202586259e-21,2.23202428954147e-18
"ENSG00000124225.16_PMEPA1",2042.48378459322,-0.451502605664192,0.0484375151137245,-9.32134120844406,1.14878817176745e-20,8.19788003686268e-18
"ENSG00000056558.11_TRAF1",633.497064148352,0.819724518497797,0.0887417701482603,9.23718917403032,2.53057407466755e-20,1.71080126258445e-17
"ENSG00000170540.15_ARL6IP1",4341.34069149888,0.62507751750543,0.0682373622213374,9.16034115559602,5.17335057763281e-20,3.32258440848467e-17
"ENSG00000120708.17_TGFBI",4331.95852825045,-0.491654112637598,0.0537678052342719,-9.14402420733765,6.01706060669615e-20,3.68043540442914e-17
"ENSG00000112081.17_SRSF3",7748.02939757988,-0.463561299703791,0.0508287855316391,-9.12005460793945,7.50864858707656e-20,4.3840268682272e-17
"ENSG00000120129.6_DUSP1",541.994625771394,-0.72030447172125,0.0798856746082777,-9.01669135615727,1.93855632249348e-19,1.08264156358386e-16
"ENSG00000146232.16_NFKBIE",1191.86171579918,0.605659523941168,0.0675006757135219,8.97264386673155,2.89480845224271e-19,1.54932560704407e-16
"ENSG00000116285.13_ERRFI1",7765.13851330234,0.411900770804226,0.0461482578667314,8.92559740811295,4.43300075056929e-19,2.2776757856425e-16
"ENSG00000166508.17_MCM7",5962.57361142537,-0.396523286852894,0.0451511934460926,-8.78212194604148,1.60419023972939e-18,7.92531678050925e-16
"ENSG00000087074.8_PPP1R15A",3272.83520257276,-0.505959821933478,0.057672586505141,-8.77296914519997,1.74015731738735e-18,8.27863731179278e-16
"ENSG00000105011.9_ASF1B",1574.03940176829,-0.483380126692521,0.055199151937192,-8.75702089123638,2.00478510918898e-18,9.19695168840443e-16
"ENSG00000101057.16_MYBL2",1824.45657850687,-0.466969485538719,0.0536289510860794,-8.70741411274648,3.10885621881404e-18,1.37700890105746e-15
"ENSG00000169429.11_CXCL8",437.330156887993,1.1263976525687,0.130117536701189,8.65677049478298,4.85318493188255e-18,2.07797201500104e-15
